page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  16   120 image     152   120  icc     3   8  jpx    no       308  0   200   200 6263B  11%
  16   121 image     147   120  icc     3   8  jpx    no       310  0   201   201 6529B  12%
  16   122 image     151   124  icc     3   8  jpx    no       312  0   201   201 6987B  12%
  16   123 image     151   124  icc     3   8  jpx    no       314  0   201   201 6559B  12%
  16   124 image     151   124  icc     3   8  jpx    no       316  0   201   201 6884B  12%
  16   125 image     128   118  icc     3   8  jpx    no       318  0   200   201 7097B  16%
  16   126 image     168   112  icc     3   8  jpx    no       320  0   201   200 7108B  13%
  16   127 image     180   125  icc     3   8  jpx    no       322  0   200   201 7911B  12%
  16   128 image     166   121  icc     3   8  jpx    no       324  0   201   201 6878B  11%
  16   129 image     175   127  icc     3   8  jpx    no       326  0   200   201 7653B  11%
  17   130 image     157   124  icc     3   8  jpx    no       331  0   200   201 6589B  11%
  17   131 image     176   132  icc     3   8  jpx    no       333  0   201   201 6652B 9.5%
  17   132 image     202   132  icc     3   8  jpx    no       335  0   200   200 6606B 8.3%
  17   133 image     202   138  icc     3   8  jpx    no       337  0   200   201 6921B 8.3%
  17   134 image     177   123  icc     3   8  jpx    no       339  0   200   200 6754B  10%
  17   135 image     177   129  icc     3   8  jpx    no       341  0   200   200 6661B 9.7%
  17   136 image     175   119  icc     3   8  jpx    no       343  0   200   201 6628B  11%
  17   137 image     186   117  icc     3   8  jpx    no       345  0   200   201 7056B  11%
  17   138 image     169   125  icc     3   8  jpx    no       347  0   201   200 6342B  10%
  17   139 image     180   132  icc     3   8  jpx    no       349  0   200   201 6505B 9.1%
  18   140 image    1660  2346  icc     3   8  jpx    no       354  0   200   200  420K 3.7%
  19   141 image     806  2346  icc     3   8  jpx    no       359  0   200   200  196K 3.5%
  20   142 image     148   148  icc     3   8  jpx    no       364  0   201   201 7247B  11%
  20   143 image     168   160  icc     3   8  jpx    no       366  0   200   201 7554B 9.4%
  20   144 image     150   150  icc     3   8  jpx    no       372  0   201   201 7259B  11%
  20   145 image     142   162  icc     3   8  jpx    no       374  0   200   201 6926B  10%
  20   146 image     138   145  icc     3   8  jpx    no       376  0   200   201 6619B  11%
  20   147 image     152   146  icc     3   8  jpx    no       378  0   201   201 7228B  11%
  20   148 image     138   138  icc     3   8  jpx    no       380  0   201   201 7041B  12%
  20   149 image     119   144  icc     3   8  jpx    no       384  0   201   201 7043B  14%
  20   150 smask     119   144  gray    1   8  jpx    no       384  0   201   201 1943B  11%
  20   151 image      84   188  icc     3   8  jpx    no       388  0   202   201 17.1K  37%
  20   152 smask      84   188  gray    1   8  jpx    no       388  0   202   201 2771B  18%
  20   153 image     118   186  icc     3   8  jpx    no       392  0   202   201 6963B  11%
  20   154 smask     118   186  gray    1   8  jpx    no       392  0   202   201 2159B 9.8%
  20   155 image     119   213  icc     3   8  jpx    no       370  0   201   200 8068B  11%
  20   156 smask     119   213  gray    1   8  jpx    no       370  0   201   200 3981B  16%
  21   157 image     167   148  icc     3   8  jpx    no       400  0   200   201 7115B 9.6%
